"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"867426","09015621511001163011000000U9","ACCELERATED CLINICAL RESEARCH","ACCELERATED CLINICAL RESEARCH S DE RL DE CV","541711","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado","6 a 10 personas","CALLE","ALTATA","EJE VIAL","3 SUR (AVENIDA BAJA CALIFORNIA)","CALLE","ALTATA","CALLE","OMETUSCO","51",,,,"501",,"COLONIA","HIPODROMO",,,,"06100","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc","1426","011",,"RGCV@ACRESEARCH.NET",,"Fijo","19.40496165","-99.17331558","2010-07"
"690199","09016541711000133000000000U4","ADVANCED RESEARCH & TECHNOLOGY SA DE CV","ADVANCED RESEARCH & TECHNOLOGY SA DE CV","541711","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado","11 a 30 personas","CALLE","LEIBNITZ","CALLE","5","AVENIDA","5","CALLE","5","221",,,,"0",,"COLONIA","POLANCO CHAPULTEPEC","EDIFICIO COMERCIAL Y DE SERVICIOS",,,"01590","09","CIUDAD DE MÉXICO","016","Miguel Hidalgo","0001","Miguel Hidalgo","068A","024",,"ACORTES@GENEXUS.COM","WWW.GENEXUS.COM","Fijo","19.42587153","-99.17711032","2014-12"
"7832075","09007541711000054000000000U1","AGENTE 33","AGENTE 33 SA DE CV","541711","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado","31 a 50 personas","CERRADA","SANTA TERESA","CALLE","SANTA TERESA","CERRADA","SANTA TERESA","CALLE","HIDALGO","68",,,,"0",,"COLONIA","TEPALCATES",,,,"09210","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","0021","008","5580354944",,"WWW.AGENTE33.COM.MX","Fijo","19.39439346","-99.05397652","2019-11"
"6776875","09016541711000152000000000U4","AMERICAS RESOURCES","AMERICAS RESOURCES SA DE CV","541711","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado","6 a 10 personas","CALLE","BOSQUE DE DURAZNOS","CALLE","BOSQUE DE LOS CIRUELOS","AVENIDA","BOSQUE DE LA REFORMA","CALLE","BOSQUE DE LOS CIRUELOS","65",,,"PISO 7","201","A","COLONIA","BOSQUES DE LAS LOMAS","EDIFICIO COMERCIAL Y DE SERVICIOS","EDIFICIO",,"11700","09","CIUDAD DE MÉXICO","016","Miguel Hidalgo","0001","Miguel Hidalgo","1245","001","52570208",,,"Fijo","19.40400925","-99.24200084","2017 03"
"8368435","09014541711000233000000000U7","ANIVIP","ASOCIACION NACIONAL DE INDUSTRIALES DE VIGUETA PRETENSADA AC","541711","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado","11 a 30 personas","AVENIDA","INSURGENTES SUR","CALLE","OHIO","CALLE","VERMONT","CALLE","COLORADO","605",,"CONDOMINIO RENA","PISO 9","901",,"COLONIA","NAPOLES","EDIFICIO COMERCIAL Y DE SERVICIOS","CONDOMINIO RENA","901","03810","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0219","022",,,,"Fijo","19.39743671","-99.17140783","2019-11"
"995329","09010541711000113001000000U9","ARETE PROYECTOS Y ADMINISTRACION SC",,"541711","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado","0 a 5 personas","AVENIDA","TOLUCA","CALLE","SEMINARIO","CALLE","SAN JUAN","CALLE","PRIVADA ÁNGELES","585",,,,,"20","COLONIA","OLIVAR DE LOS PADRES",,,,"01780","09","CIUDAD DE MÉXICO","010","Álvaro Obregón","0001","Álvaro Obregón","1171","049","5517180278","ADMINISTRACION@ARETEPROYECTOS.COM",,"Fijo","19.33792684","-99.22216438","2010-07"
"760710","09016541711000051000000000U8","ASOCIACION MEXICANA DE ENERGIA EOLICA","ASOCIACION MEXICANA DE ENERGIA EOLICA AC","541711","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado","0 a 5 personas","AVENIDA","EJERCITO NACIONAL MEXICANO","CALLE","JAIME BALMES","CALLE","JOSE LUIS LAGRANGE","AVENIDA","HOMERO","11",,"CENTRO Y PLAZA COMERCIAL","MEZZANINE","130","F","COLONIA","LOS MORALES","CENTRO Y PLAZA COMERCIAL","PLAZA POLANCO","130 F","11510","09","CIUDAD DE MÉXICO","016","Miguel Hidalgo","0001","Miguel Hidalgo","0622","006","5529661669","SALOMOND@AMDEE.ORG","WWW.AMDEE.ORG","Fijo","19.43860697","-99.21069868","2014-12"
"858961","09012541711000032000000000U7","ASOCIACION MEXICANA PARA LA SALUD SEXUAL","ASOCIACIÓN MEXICANA PARA LA SALU SEXUAL SC","541711","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado","11 a 30 personas","CALLE","TEZOQUIPA","CALLE","MAGISTERIO NACIONAL","CALLE","CONGRESO","CALLE","JOJUTLA","26",,,,"0",,"COLONIA","TLALPAN CENTRO",,,,"14000","09","CIUDAD DE MÉXICO","012","Tlalpan","0001","Tlalpan","0943","007","5555733460","INFORMESAMSSAC@GMAIL.COM","WWW.AMSSAC.ORG","Fijo","19.28307085","-99.16751308","2010-07"
"9092190","09017541711000011000000000U0","ASTRONOMIA SIN NOMBRE",,"541711","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado","0 a 5 personas","CALLE","UNIVERSIDAD NACIONAL","CALLE","SUPREMA CORTE DE JUSTICIA","CALLE","PLAZA DEL EJECUTIVO","CALLE","EDUCACIÓN PÚBLICA",,"SN",,,,"83","COLONIA","FEDERAL",,,,"15700","09","CIUDAD DE MÉXICO","017","Venustiano Carranza","0001","Venustiano Carranza","1011","020","5578809429",,,"Fijo","19.42004423","-99.08919392","2019-11"
"864548","09015621511001833010000000U7","BIODISEÑO","BIODISEÑO SA DE CV","541711","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado","11 a 30 personas","CALLE","TAXCO","CALLE","AGUASCALIENTES","CALLE","TLAXCALA","CALLE","MANZANILLO","14",,,,,,"COLONIA","ROMA SUR",,,,"06760","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc","1356","007",,"BIODISENOMX@GMAIL.CO",,"Fijo","19.40800003","-99.16581928","2010-07"
